Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
xz 5.8.1 -9,4.64,205.29,8305920,960708,11.57,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/4
zlib 1.3.1 -1,164.35,617.74,8305920,1515093,18.24,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/4
zlib 1.3.1 -3,119.12,677.99,8305920,1489336,17.93,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/4
zlib 1.3.1 -5,70.86,458.91,8305920,1441069,17.35,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/4
zlib 1.3.1 -7,26.00,457.56,8305920,1432977,17.25,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/4
zlib 1.3.1 -9,3.25,457.82,8305920,1431472,17.23,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/4
zstd 1.5.7 -1,577.58,1364.14,8305920,1359520,16.37,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/5
zstd 1.5.7 -3,379.53,1325.52,8305920,1408395,16.96,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/5
zstd 1.5.7 -5,245.12,1345.96,8305920,1380681,16.62,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/5
zstd 1.5.7 -7,110.75,1359.80,8305920,1348057,16.23,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/5
zstd 1.5.7 -9,80.62,1353.50,8305920,1255923,15.12,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/5
zstd 1.5.7 -11,39.47,1387.96,8305920,1270828,15.30,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/5
zstd 1.5.7 -13,23.23,1604.25,8305920,1266178,15.24,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/5
zstd 1.5.7 -15,12.64,2265.07,8305920,1237230,14.90,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/5
zstd 1.5.7 -16,9.58,1663.92,8305920,1267404,15.26,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/5
zstd 1.5.7 -19,5.91,1427.61,8305920,1125470,13.55,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/5
xz 5.8.1 -1,38.01,203.24,8305920,1115012,13.42,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/5
xz 5.8.1 -3,19.28,211.99,8305920,1114172,13.41,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/5
xz 5.8.1 -5,4.91,229.38,8305920,961660,11.58,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/5
xz 5.8.1 -7,4.70,229.10,8305920,958872,11.54,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/5
