Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
zlib 1.3.1 -1,112.08,386.88,61948163,17969146,29.01,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/29
zlib 1.3.1 -3,56.89,457.18,61948163,15896875,25.66,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/29
zlib 1.3.1 -5,33.20,423.85,61948163,14398448,23.24,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/29
zlib 1.3.1 -7,11.78,460.09,61948163,13397782,21.63,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/29
zlib 1.3.1 -9,4.97,474.30,61948163,13010417,21.00,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/29
zstd 1.5.7 -1,379.72,1172.43,633117397,141322328,22.32,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/30
zstd 1.5.7 -3,280.03,1061.96,633117397,140906794,22.26,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/30
zstd 1.5.7 -5,135.63,1054.92,633117397,137481327,21.71,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/30
zstd 1.5.7 -7,73.56,1266.95,633117397,126288705,19.95,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/30
zstd 1.5.7 -9,52.51,1306.13,633117397,123326515,19.48,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/30
zstd 1.5.7 -11,24.92,1418.82,633117397,116871926,18.46,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/30
zstd 1.5.7 -13,10.96,1435.16,633117397,114690558,18.12,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/30
zstd 1.5.7 -15,4.65,1591.60,633117397,108104162,17.07,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/30
zstd 1.5.7 -16,4.51,1574.88,633117397,104641048,16.53,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/30
zstd 1.5.7 -19,1.80,1569.19,633117397,97811256,15.45,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/30
xz 5.8.1 -1,26.30,140.95,633117397,132419432,20.92,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/30
xz 5.8.1 -3,10.48,168.17,633117397,124056928,19.59,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/30
xz 5.8.1 -5,2.89,194.84,633117397,101606096,16.05,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/30
xz 5.8.1 -7,2.06,196.14,633117397,95927904,15.15,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/30
xz 5.8.1 -9,1.64,160.56,633117397,93651136,14.79,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/30
zlib 1.3.1 -1,112.33,380.46,633117397,183061277,28.91,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/30
zlib 1.3.1 -3,57.04,445.09,633117397,162298500,25.63,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/30
zlib 1.3.1 -5,33.92,418.21,633117397,146289038,23.11,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/30
zlib 1.3.1 -7,11.74,457.63,633117397,136010975,21.48,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/30
