Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
zlib 1.3.1 -7,33.95,627.66,8305920,1181817,14.23,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/4
zlib 1.3.1 -9,4.10,666.83,8305920,1153813,13.89,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/4
zstd 1.5.7 -1,517.14,1094.50,8305920,1320748,15.90,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/5
zstd 1.5.7 -3,448.34,1087.65,8305920,1325405,15.96,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/5
zstd 1.5.7 -5,202.71,1069.84,8305920,1278493,15.39,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/5
zstd 1.5.7 -7,99.59,1292.47,8305920,1209014,14.56,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/5
zstd 1.5.7 -9,74.54,1251.18,8305920,1177807,14.18,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/5
zstd 1.5.7 -11,34.90,1532.61,8305920,1116535,13.44,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/5
zstd 1.5.7 -13,21.97,1902.07,8305920,1055976,12.71,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/5
zstd 1.5.7 -15,10.40,2447.16,8305920,978432,11.78,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/5
zstd 1.5.7 -16,7.07,2314.28,8305920,979263,11.79,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/5
zstd 1.5.7 -19,3.53,2324.93,8305920,924898,11.14,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/5
xz 5.8.1 -1,42.07,211.55,8305920,968364,11.66,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/5
xz 5.8.1 -3,19.05,247.45,8305920,930532,11.20,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/5
xz 5.8.1 -5,4.40,300.47,8305920,813884,9.80,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/5
xz 5.8.1 -7,3.40,311.70,8305920,787820,9.49,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/5
xz 5.8.1 -9,3.34,268.43,8305920,787820,9.49,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/5
zlib 1.3.1 -1,180.06,651.08,8305920,1460325,17.58,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/5
zlib 1.3.1 -3,111.57,767.64,8305920,1313626,15.82,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/5
zlib 1.3.1 -5,74.82,601.47,8305920,1229531,14.80,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/5
zlib 1.3.1 -7,33.74,619.36,8305920,1186721,14.29,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/5
zlib 1.3.1 -9,4.09,654.84,8305920,1159163,13.96,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/5
zstd 1.5.7 -1,514.06,1085.76,8305920,1321535,15.91,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/6
zstd 1.5.7 -3,447.50,1069.36,8305920,1327105,15.98,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/6
zstd 1.5.7 -5,203.28,1082.04,8305920,1280711,15.42,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/6
zstd 1.5.7 -7,98.56,1291.44,8305920,1212421,14.60,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/6
zstd 1.5.7 -9,74.69,1255.00,8305920,1180340,14.21,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/6
zstd 1.5.7 -11,34.76,1531.43,8305920,1119936,13.48,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/6
zstd 1.5.7 -13,21.73,1888.51,8305920,1059862,12.76,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/6
zstd 1.5.7 -15,10.36,2430.95,8305920,985411,11.86,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/6
zstd 1.5.7 -16,7.08,2291.69,8305920,983941,11.85,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/6
zstd 1.5.7 -19,3.52,2322.65,8305920,933846,11.24,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/6
