Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
zstd 1.5.7 -19,3.70,635.97,87520526,49836102,56.94,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/10
xz 5.8.1 -1,11.89,57.51,87520526,48044780,54.90,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/10
xz 5.8.1 -3,6.16,59.48,87520526,48162576,55.03,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/10
xz 5.8.1 -5,3.19,61.16,87520526,43280224,49.45,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/10
xz 5.8.1 -7,2.98,63.47,87520526,41613592,47.55,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/10
xz 5.8.1 -9,2.54,62.38,87520526,41296204,47.18,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/10
zlib 1.3.1 -1,53.44,267.46,87520526,56504500,64.56,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/10
zlib 1.3.1 -3,41.07,283.07,87520526,56477962,64.53,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/10
zlib 1.3.1 -5,32.10,276.69,87520526,55990005,63.97,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/10
zlib 1.3.1 -7,17.14,278.78,87520526,55699668,63.64,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/10
zlib 1.3.1 -9,3.59,279.79,87520526,55597481,63.53,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/10
zstd 1.5.7 -1,577.12,1102.97,121150518,89512261,73.89,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/11
zstd 1.5.7 -3,231.48,907.85,121150518,81549884,67.31,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/11
zstd 1.5.7 -5,146.74,923.83,121150518,80751525,66.65,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/11
zstd 1.5.7 -7,111.75,929.72,121150518,80522091,66.46,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/11
zstd 1.5.7 -9,82.86,906.05,121150518,79376758,65.52,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/11
zstd 1.5.7 -11,41.40,884.40,121150518,78973435,65.19,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/11
zstd 1.5.7 -13,15.47,879.43,121150518,78845792,65.08,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/11
zstd 1.5.7 -15,13.87,883.09,121150518,78744587,65.00,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/11
zstd 1.5.7 -16,7.31,805.92,121150518,78263114,64.60,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/11
zstd 1.5.7 -19,4.04,641.48,121150518,74556443,61.54,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/11
xz 5.8.1 -1,11.04,53.43,121150518,71739228,59.21,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/11
xz 5.8.1 -3,5.49,54.56,121150518,71840848,59.30,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/11
xz 5.8.1 -5,3.30,53.01,121150518,67292676,55.54,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/11
xz 5.8.1 -7,3.20,53.69,121150518,66466104,54.86,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/11
xz 5.8.1 -9,2.43,53.27,121150518,65488488,54.06,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/11
zlib 1.3.1 -1,49.06,260.42,121150518,82128330,67.79,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/11
zlib 1.3.1 -3,37.19,275.00,121150518,82238282,67.88,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/11
zlib 1.3.1 -5,28.64,270.59,121150518,81577723,67.34,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/11
zlib 1.3.1 -7,16.36,271.01,121150518,81214406,67.04,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/11
zlib 1.3.1 -9,4.15,272.50,121150518,81014364,66.87,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/11
