Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
xz 5.8.1 -1,42.42,226.05,567195185,64968456,11.45,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/3
xz 5.8.1 -3,22.00,253.66,567195185,62963924,11.10,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/3
xz 5.8.1 -5,6.07,300.29,567195185,55470464,9.78,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/3
xz 5.8.1 -7,5.13,314.04,567195185,54252188,9.56,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/3
xz 5.8.1 -9,4.97,308.17,567195185,54248636,9.56,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/3
zlib 1.3.1 -1,188.51,675.46,567195185,94408705,16.64,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/3
zlib 1.3.1 -3,122.42,773.24,567195185,87125892,15.36,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/3
zlib 1.3.1 -5,80.83,665.12,567195185,82116170,14.48,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/3
zlib 1.3.1 -7,24.99,757.37,567195185,76857869,13.55,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/3
zlib 1.3.1 -9,4.19,805.86,567195185,73583893,12.97,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/3
